key,en,fr,es
header,Design - Imagin - Develop,Concevoir - Imaginer - Développer,Crear - Imaginar - Desarollar
tagline,Creative Sound for Games & Beyond,Design sonores à l'image et jeux vidéos<br>Développement audio<br>Compositions musicales interactives
nav_portfolio,Portfolio,Portfolio
nav_tools,Tools,Outils
nav_contact,Contact,Contacts
view_work,View my work,Voir mon travail
contact_me,Contact me,Me contacter
portfolio,Portfolio,Portfolio
tags_all,All projects,Tous les projets
tags_sd,Sound Design,Design Sonore
tags_soundtrack,Soundtracks,Bande Sons
tags_ai,Audio Integration, Intégration Audio
tags_at,Audio Tool,Outils Audio
project_meot_title,Mass Entity Optimization : Audio Tool (2025),Optimisation de masse d'entité : Outil Audio (2025)
project_meot_desc,Unity C# Wwise tool for optimizing sounds placed on clusters of entities (crowds / swarms),Outil Unity C# Wwise d'optimisation des sons placés sur des masses d'entités (foules / assaims)
project_meot_long,This C# Unity/ Wwise tool allows to optimize the entity sound in bulk. <br>The principle is simple: Use Wwise to sonorize a entity cluster calculated in real time by the tool.<br>The audio stream content of each cluster is then modulated based on the number of entities in the group.<br>Everything is fully configurable and dynamic in order to be used as a "toolbox" for any system requiring the sound of a large number of entities (crowd / herd / fish school / bee swarms / etc...),Cet outil C# Unity / Wwise permet d'optimiser la sonorisation d'entité en masse.<br>Le principe est simple : Utiliser Wwise pour sonoriser un groupe d'entité proche (cluster) calculé en temps réel par l'outil.<br>Le contenu du flux audio de chaque cluster est ensuite modulé en fonction du nombre d'entité dans le groupe.<br>Tout est entièrement paramétrable et dynamique afin d'être utilisé comme "toolbox" pour n'importe quel systeme demandant de sonoriser un grand nombre d'entité (foule / troupeau / banc de poissons / essaims d'abeilles / etc...)
project_al_title,Architect Life : Sound Design (2024),Architect Life : Design Sonore (2024),
project_al_desc,Architect game simulator developed by Shine Research and published by Nacon,Jeu Vidéo de simulation d'architecture développé par Shine Researcg et édité par Nacon
project_al_long,Architect Life is an architecture simulation game that allows you to move from modeling 3D plans based on client criteria to making decisions on the construction site. On this project G4F was commissioned to create all the audio assets of the interface game with the different materials paints and furniture installed during modeling.,Architect Life est un jeu de simulation d'architecture permettant de passer de la modélisation des plans 3D basé sur les critères du client au décisions sur le chantier. Sur ce projet G4F a été missioné pour créer tous les assets audios du jeu de l'interface aux différents materiaux peintures et meubles posés lors de la modélisation.
project_mol_title,Masters of Light : Sound Design (2024),Masters of Light : Design Sonore (2024)
project_mol_desc,Wave Shooter in mixed reality developed by COVEN & ALBYON and voiced by G4F,Wave Shooter en réalité mixte développé par COVEN & ALBYON et sonorisé par G4F
project_mol_long,Masters of Light is a mixed reality Wave Shooter developed by Coven & Albyon whose entire audio production has been delegated to G4F Prod. Having recently arrived at the company I was able to give a hand to Laurent Bariet on the audio production of the game assets:<br>- Attacks animations and enemy movements sound design<br>- Player spells sound design<br>- In-game tests with the VR headset for audio mixing,Masters of Light est un Wave Shooter en réalité mixte développé par Coven & Albyon dont toute la production audio a été délégué a G4F Prod. Etant arrivé récement dans l'entreprise j'ai pu donner un coup de main a Laurent Bariet sur la production audio des assets du jeu :<br>- Sonorisation d'animations d'attaques et de mouvements des ennemis<br>- Sonorisation des spells du joueurs<br>- Tests ingame avec le casque VR pour le mixage audio
project_dc_title,Darkest Canopy : Soundtrack (2023),Darkest Canopy : Bande Son (2023)
project_dc_desc,An epic soundtrack with Inca influences,Une bande son épique aux influence Inca
project_dc_long,Darkest Canopy is a student video game in which I was able to give a hand on the musical composition:<br>- Original theme of the game<br>- Exploration theme<br>- Combat theme<br>The exploration and combat musics have exactly the same duration and loop to transition between one and the other at any time during the game.,Darkest Canopy est un jeu vidéo étudiant dans lequel j'ai pu donner un coup de main sur la composition musicale :<br>- Theme orignial du jeu<br>- Theme d'exploration<br>- Theme de combat<br>Les compositions des musiques d'explorations et de combats ont exactement la meme durée et bouclent pour mettre de transitionner entre l'une et l'autre a n'importe quel moment du jeu.
project_lrds_title,La Route des Sommets : Soundtrack (2023),La Route des Sommets : Bande Son (2023)
project_lrds_desc,A soft and melancholic soundtrack between acoustic sounds of the Basque country and electronic pads,Une bande son douce et mélancolique entre sonorités acoustiques du pays basque et nappes electroniques
project_lrds_long,La Route des sommets is a short film by 3iS Bordeaux students about the Basque country and geographical isolation.<br>I chose retro guitars and synthesizers to create a melancholic soundtrack that illustrates the two visions of the two young girls: Stay participate in "transhumance" or move to the city.,La Route des sommets est un court métrage étudiant 3iS Bordeaux parlant du pays basque et de l'isolation géographique.<br>J'ai choisi des guitares et des synthétiseurs retro pour créer une bande son mélancolique qui illustre les 2 visions des 2 jeunes filles : Rester participer a la transhumance ou déménager en ville.
project_lc_title,Lofi Clicker : Sound Design / Integration / Soundtrack (2023),Lofi Clicker : Design Sonore / Intégration / Bande Son (2023)
project_lc_desc,Musical rhythm game from the Winter Jam 2023,Jeu de rythme musical issu de la Winter Jam 2023
project_lc_long,Lofi Clicker is a musical rhythm game created during the Winter Jam 2022 on FMod / Unity. The audio is notably distinguished by evolutionary orginal pieces created to evolve according to the player's rhythm (tempo detection in Unity based on the information of the current piece given by FMod).,Lofi Clicker est un jeu de rythme musical créé lors de la Winter Jam 2022 sur FMod / Unity. L'audio se démarque notamment par des morceaux orginaux évolutifs créé pour évoluer au rythme du joueur (detection de tempo dans Unity basé sur les information du morceau actuel donné par FMod).
project_tr_title,The Roaming : Sound Design (2022),The Roaming : Design Sonore (2022)
project_tr_desc,Immersive theater in mixed reality,Théatre immersif en réalité mixte
project_tr_long,THE ROAMING is a tale presented as an immersive and interactive theater piece in which I was able to lend a hand during the creation of sound during my internship at G4F :<br>- Sound reinforcement of environments in Quad format<br>- Post production of foleys recordings over animations<br>- Integration of in-game sounds via Wwise and Unity (placing audio events on the timeline),THE ROAMING est un conte présenté sous la forme d'une piece de théatre immersive et interractive dans lequel j'ai pu donner un coup de main lors de la création du son pendant mon stage a G4F :<br>- Sonorisations des environnements en format Quad<br>- Participation et dépilage des enregistrements des foleys sur les animations<br>- Intégration des sons en jeu via Wwise et Unity (pose des évènements audio sur la timeline)
project_pm_title,Phantom Memories : Sound Design & Soundtrack (2022),Phantom Memories : Design Sonore & Bande Son (2022)
project_pm_desc,Narrative investigation video game in a closed context created by the 3iS Bordeaux Video Game animation class,Jeu vidéo d'enquête narratif en huis clos créé par la classe d'animation Jeu Vidéo de 3iS Bordeaux
project_pm_long,Phantom Memories is a narrative investigation video game in which I was able to take care of part of the audio production :<br>- Lead Sound Design (a team of 4)<br>- Wwise/ Unity<br>- Composer of few part of the final OST of the game<br>- Recording of the original themes with a semi-professional cellist,Phantom Memories est un jeu vidéo d'enquête narratif dans lequel j'ai pu m'occuper d'une partie de la production audio :<br>- Lead Sound Design (une équipe de 4)<br>- Intégrateur Sonore Wwise / Unity<br>- Compositeur d'une grande partie de l'OST finale du jeu<br>- Enregistrement des themes originaux avec une violoncelliste semi-professionelle
project_polarnatt_title,Polarnatt : Sound Design & Soundtrack (2022),Polarnatt : Design Sonore & Bande Son (2022)
